2+3|Heat Burst
H.2+3|Flame Riot: Lunar Mirror
f+1+2|Gozuryu
ws2,1|Kaisen Ryujin
BT.1,4|Aratama Crusher
KAT.1,2|Severing Snow
SET.1+2|Twin Crescent Slash
H.db+1+2|Flame Dance: Waxing Moon
H.u+1+2|Flame Dance: Izayoi Moon
H.KAT.d+1+2|Flame Dance: Waning Moon
1|Jab
1,1|Memai Tsuki
1,1,1|Memai Tsuki > Ryu Enko
1,1,2|Memai Tsuki > Dark Clutch
1,1,4|Memai Tsuki > Pouncing Strike
1,2|Multi-palm Strike
1,2,2|Spinning Slash
1,2,4|Flash Kick Combination
2|
2,2|Lotus Blade
2,2,2|Shrouded Lotus Blade
2,2,2,2|
2,2,2,2,2|Shadow Lotus Blade
3|Crescent Kick
3,4|Getsurin Renkyaku
4|
4,2|Kagenade Slash
1+2|Katon
3+4|Growling Jewel
f+2|
f+2,3|Phoenix Tail
f+3|Setsunagake
f+4|Kusabiyuki
f+3+4|Whirling Snapdragon
df+1|
df+1,2|
df+1,2,2|Unmuzan > Oboro Engetsu
df+1,3|Muten Cannon
df+2|Rising Moon Slash
df+3|
df+3,2|Ice Cleaver
df+4|
df+3+4|Falling Hail
d+1|Sakumaishi
d+2|
d+2,1|
d+2,1,2|
d+2,1,2,1+2|Amamikanameishi
d+3|
d+3,4|
d+3,4,1|Rinbu Kick > Savage Kunai Throw
d+3,4,1,F|Rinbu Kick > Piercing Kunai Throw
d+1+2|Seneizan
d+3+4|Blazing Fire Lilies
db+2|
db+2,4|
db+2,4,2|Kousa Renbu
db+3|
db+3,3|
db+3,3,3|
db+3,3,3,3|
db+3,3,3,3,3|
db+3,3,3,3,3,3|Manji Spin Low Kicks
db+3,3,3,3,3,4|Manji Spin Low Kicks Front Kick
db+4|Yamashiro Kuzushi
b+1|
b+1,1|
b+1,1,1|
b+1,1,1,1|
b+1,1,1,1,1|
b+1,1,1,1,1,1|Slap U Silly
b+2|Hakkouen
b+3|
b+3,4|Kodama Flip
b+4|Tenrou
b+4,3|Uratenrou
b+1+2|Burning Petals
b+3+4|Disengage
ub+2|Tenton
ub+3|Nigemizu
ub+3+4|Hiryu Scorching Blossoms
(Airborne).ub+3+4|Hiryu Falling Sakura
u+2|Kurama Itto
u+3+4|Guillotine Crow Kick
uf+1|Cloud Scorching Blossoms
uf+2|Ashura Blade
uf+3|Double Rising Knee
uf+4|Crescent Moon Kick
uf+3+4|Musasabi (MUS)
MUS.2|Sasabi Barai
MUS.4|Sasabi Kujiki
MUS.3+4|Sasabi Tobikage
uf,n,3|
uf,n,4|
f,F+2|Climbing Shadow
f,F+4|
f,F+4,2|Raging Blizzard
f,d,df+2|Tensho Kaisen
qcf+1|Savage Kunai Throw
qcf+1,F|Piercing Kunai Throw
qcf+2|Oboro Engetsu
qcf+1+2|Ensa Sogetsu
f,f,F+2|Sword Smash
f,f,F+3|Kuga
hFC.1|Crouch Jab
hFC.2|
hFC.3|
hFC.4|
hFC.1+2|Yakouga
ws1|
ws1,1|Shigure
ws2|
ws3|Kaede
ws4|Fox Toe Smash
BT.1|
BT.1,2|Aratama Slash
BT.1,2,1|Aratama Slash > Ryu Enko
BT.1,2,2|Aratama Slash > Dark Clutch
BT.1,2,4|Aratama Slash > Pouncing Strike
BT.1,3|Aratama Kick
BT.2|Cross Strike
BT.3|Tobitengu
BT.4|Graceful Tail Whip
BT.1+2|Lycoris Radiata
BT.f+1+2|Shadow Strike
BT.d+2|Sinking Thrust
BT.d+4|Araremaki
KAT.1|
KAT.2|Veil of Night
KAT.3|
KAT.3,2|Leaping Moon Blade
KAT.4|
KAT.4,2|Moonlight Assassin
KAT.1+2|Fire Blossom Breath
KAT.U|Cumulonimbi
SET.1|
SET.1,2|Gekka Renzan
SET.1,2,1|Gekka Renzan > Ryu Enko
SET.1,2,2|Gekka Renzan > Dark Clutch
SET.1,2,3|Gekka Renzan > Moon Light Dance
SET.1,2,4|Gekka Renzan > Pouncing Strike
SET.2|Kasumi Slash
CH.SET.2|Souenzan
SET.3|Frost Slide
SET.4|
SET.4,3|Into the Dark
SET.uf+4|Chakra Drop
SET.B|Sliding Sweep
SET.1+4|Manji Rana
SET.uf+1+2|Manji Cartwheel
R.df+1+2|Nine-Tailed Razing Lily
1+3+4|Taunt 1
2+3+4|Taunt 2
1+2+3+4|Ki Charge
SS.2|
SS.2,1+2|Spiral Sunder
SS.4|Will-O-the-Wisp
b+1+3|Secret Flower
BT.3+4|Secret Flower Ura
(Back_to_wall).b,b,UB|Wall Jump Attack
1+3|Tamaki
2+4|Mizore
Left_Throw|Avalanche
Right_Throw|Tornado
Back_Throw|Yamikazan
f+1+4|Manji Rana
uf+1+2|Manji Cartwheel
BT.1+4|Skybound Falling Sakura
1,b+2,1,4,4,4|
