2+3|Heat Burst
H.2+3|Heavenly Dragon
H.1+2|Tornado Claw
H.DSS,P|Dragon Parry
df+1,H.2|Blast Claw
H.uf+2|Gale Claw
1,1,1|Furious Rush
b+1,2,2|Dragon Storm
uf+3|Dragon's Fury
DSS.f+1|Dragon Roar
DSS.f+3|Dragon Cannon
1|Jab
1,1|
1,1,2|Knuckle Barrage Combo
1,2|Left Right Combo
1,2,2|
1,2,2,2|Left Right Dragon Fist Combo
1,2,2,1+2|Left Right Blazing Fist Combo
1,2,3|Left Right > Knee
1,2,uf+3|Left Right Combo > Somersault
1,2,uf+3,4|Left Right Combo > Somersault Feint
2|Right Jab
2,2|
2,2,2|Rave War Combo
2,2,1+2|Blazing Fist Combo
2,b+2|
2,b+2,1|
2,b+2,1,2|Rage Dragon Combo
3|High Kick
3,3|Feint > Middle Kick
3,4|High Kick > Bloody Cleaver
4|Right High Kick
4,3|
4,3,4|Shaolin Spin Kicks
4,u+3|Crescent Kick Combo
1+2|Tornado Claw
3+4|
3+4,4|Wild Dragon's Flight
f+2|
f+2~1|Poison Arrow
f+3|
f+3,1|Plunging Knock
f+1+2|Dragon Hammer
f+3+4|Dragon Killer
df+1|
df+1,2|Blast Claw
df+1,3|
df+1,3,2|
df+2|Dragon Raise
df+3|Dragon Lance
df+4|Right Middle Kick
df+4,3|Right Middle Kick > Somersault Kick
df+3+4|Banana Peel
d+1|Low Backhand
d+1,3|Low Backhand > High Kick
d+2|Body Blow
d+2,3|Body Blow > Dragon Lift
d+3|Dragon Low
d+3,3|Dragon Low > Hook Kick
d+4|
d+4,3|Construct Kick
d+3+4|Low Kick
d+3+4,3|Low Kick > Somersault
db+1|Crouch Jab
db+2|
db+2,4|Elbow Spring Kick
db+3|Shin Crusher
db+4|Dragon's Tail
db+4,4|Dragon's Tail > Somersault Kick
db+1+2|
db+1+2,1|Dragon Judgment
b+1|
b+1,2|
b+2|
b+2,1|Vortex Rush
b+2,2|Knuckle Rush
b+2,3|
b+2,3,4|Junkyard Kick
b+2,3,d+4|Dragon Rush Combo
b+3|Dragon Spin Kick
b+4|
b+4,3|Tiger Fang
b+1+2|Dragon Stinger
b+1+3|Parry
b+2+4|Dragon Parry
b+3+4|Dragon Arrow
ub+2|generic hook
ub+1,1+2,2|Fury Fist Rush
ub+3|Somersault
ub+3,4|Somersault Fake
ub+1+2|Dragon Back Blow
u+4|Rising Toe Kick
uf+1|Blackout
uf+1,3|Blackout > Muggin'
uf+2|Gale Claw
uf+4|Dragon's Rising Kick
uf+3+4|Dragon's Descent
uf,n,4|Dragon's Rising Cannon
UF+4|Somersault Kick
UF+4,3|Backflipper
f,F+2|Dragon's Poke
f,F+2,1|
f,F+2,1,3|Dragon Strike Combo
f,F+2,3|Dragon Dagger
f,F+2,f+1+2|Dragon's Poke > Poison Arrow
f,F+3|Dragon Divide
f,F+4|Dragon's Leap Shot
f,f,F+3|Running Side Kick
b,B+2+3|Charge Power Punch
hFC.1|Crouch Jab
hFC.2|Body Blow
hFC.3|
hFC.3,4|Double Impact
hFC.4|Low Kick
hFC.4,3|Low Kick > Somersault
FC.UF+3+4|Rainbow Kick
FC.df,d,df+3|Slide Kick
ws1|
ws1,2|Flash Fist
ws2|Dragon Uppercut
ws3|Side Kick
ws4|
ws4,3|Front Kick Somersault Variation
ws3+4|Catapult Kick
d+1+2|Dragon Charge
DSS.1|Dragon Knuckle
DSS.2|Cloud Gates
DSS.3|Dragon Charge Spin Kick
DSS.4|Dragon Charge Kick
DSS.f+4|Dragon's Flight
DSS.uf+1+2|Facelift
BT.1|Turning Knuckles
BT.2|
BT.2,2|Blind Elbow Combo
BT.3|
BT.4|
BT.4,3|Wolf Fang
BT.1+2|Dragon Back Blow
BT.d+3|
BT.d+4|Reverse Low
BT.d+3+4|Frogman
ss2|Spinning Dragon Blow
ss3|Low Crush
ss3+4|Double Dragon
R.df+1+2|Fate of the Dragon
1+2+3+4|Ki Charge
1+2+3+4~1|Blackout
1+2+3+4~1,3|Blackout > Muggin'
1+2+3+4,1+2*|Ki Charge (Hold)
1+2+3+4,1+2*,2|Cloud Gates
(While_down,_facing_up).1+2+3+4|Taunt
2+3+4|Taunt
(Back_to_wall).b,b,ub|Wall Jump Divekick
1+3|Dragon's Fire
2+4|Hopping Frog
Left_throw|Headlock Kick
Right_throw|Ball Breaker
Back_throw|Dragon Bites
f+2+3|Run Up > Drop
uf+1+2|Headlock Punch
uf+1+2,1,2,1+2|Headlock Drop
f,F+3+4|Knee Lift
10_String|10 Hit Combo
